Address,Humanity Score,,,,
0xA9cf3Ed132Fbe9844613d4934aBC5A5FE52C3E9B,53,,,,
0x9aC41e441131d8BAD5f165c2a8dd71e5F7BfaEA8,78,,,,
0x6E4246B05D45440e1432a8Fa4f5271CfB8c28246,46,,,,
0x24a30a52164aE66C77FDeAB00ead1aed2C7573E0,21,,,,
0xb68F52FE2583b5a568E7E57dc98c69d93821f6e4,75,,,,
0x186baD94057591918c3265C4Ddb12874324BE8Ac,78,,,,
0x14Ce500a86F1e3aCE039571e657783E069643617,67,,,,
0x879901650EBD44641Bff962A051B15a9840B3567,32,,,,
0x0196e345987bB68A19A9254DDfB23287c8966A82,53,,,,
0xC6c86e890A7a1f0Bb0d5Ba2888207F2b6f72fae5,71,,,,
0x159971f898c5C373F8F2183bCb2Afe5EB43F74E1,28,,,,
0x523B5b2Cc58A818667C22c862930B141f85d49DD,75,,,,
0x14288773c9df9a1b669de2324187f678d7C1aB4B,60,,,,
0x6a6eC6Bb05a416Bc1bab26C8628a68dCB1c76D38,35,,,,
0xD950C92cB59C5a2BCebF0614A9B2e05D029b28FA,46,,,,
0x14381dd7301B775E2A31E1a767DC9D8B755A8ebe,28,,,,
0x0be0eCC301a1c0175f07A66243cfF628c24DB852,78,,,,
0x0a96f04f41AFDEB1F84516864FeE36545562f09D,42,,,,
0x34A903636158a5e5929a6cb87171c7e0dD2BA6B9,53,,,,
0xa018fEB6840781436e5440De92F91659bCE036b6,71,,,,
0x2B384212EDc04Ae8bB41738D05BA20E33277bf33,75,,,,
0x1E0325E7661f8ef11A8Ca019118c96107E275043,50,,,,
0xd2f6f20cbba3139BB53C09D69c270d20eb93831C,39,,,,
0x66346E9B773836C4d218bBE82e8918cc5b10E62f,21,,,,
0x276Adf94808668338ff61df00d63c2F8ce056206,75,,,,
0xE2cC777D59b4D354FF1D55aDd7579726d04430C0,75,,,,
0xc64d769eB79d35246b45813365A99c8e92C694a3,67,,,,
0x6777529D538c57D6CC6d46DA4610758245470dAb,67,,,,
0x1D06e1138f8225908D89013852BC1092AF9F5ABF,21,,,,
0xA452B2cAfc9F42A90FeB939E674375B6139b0405,17,,,,
0xc6A6ae6b40950703C68DF40777e6636F63B491Fa,14,,,,
0x53aC2783Dc67C35c67e18E2e37DEed74cfBD7b0A,32,,,,
0xF5f08Ba7F46e2a86b5ef3BFD56c2097C9f4276D7,57,,,,
0x1Dee736bDde5f44c6A1Ad47E151Bb29adD69da09,50,,,,
0xe7D4622Bc758e9C042f7327b45CcD92266C41280,17,,,,
0x601c6D9efF76Ae8cd7bFF5fC4900f20F6F80734F,78,,,,
0xC24B3CA6067B3eaac5FD36d44F5c18bec29EBf47,39,,,,
0x9648380814AB1a967C0E70aCf3f85D6E65A4EBd2,28,,,,
0x67feeD955415dC461b11cD8144dFa7eF4064CEc1,32,,,,
0xC1684452B9e03e97134A6FAB92D708f10A8752ee,50,,,,
0xeDb7367FD9D58fc59F9d28edD74c056CE84222d3,60,,,,
0xa6440D0070fcC347E5844d16a20855199d97A779,53,,,,
0x4906E4f95ad546cE865916F65C825e00630bFfa8,64,,,,
0xA251B373471E1CeD96f3522e918471201d93Ab60,78,,,,
0xfb9F8Ea924dDbDB8C23c6a519ea8C70Cf8F7B92A,17,,,,
0x2F20D620c59F44308850A16Cc8b692D542495bc4,32,,,,
0xaCeFE48a6CAEDa0778a1a16575fB9BF443500DC5,32,,,,
0x523E95f068DEcD2bC38B3B7e595A4e9D41A2E70a,46,,,,
0x067EBD37dd83805DBF24cd1C44550825E06cc0d1,39,,,,
0xcf734af2a628De7A281868B221780742d4Ae91b6,32,,,,
0xb4bbF084676E3B6f9D9c1beAA7C2AAe8e88597F5,42,,,,
0xb185b9dA1c8c539130Ae2A64823ed757F0f9e249,42,,,,
0xBd1a0bFb49d78D26EAc7978bb8FE89A4ad0AfE51,35,,,,
0xcC2a6136bAFd35bD09ed3A9CB8BdAEb1f3196A6F,35,,,,
0x3c6Cf6fAe1aA3003d3CC74c93C79aC77391f0bD2,35,,,,
0xa0d69A4d81372F070C001764408c6b715fc6bc39,28,,,,
0xf6058F441703D5C8b3b5aaF1126ecf41e1a8884B,17,,,,
0xD39E02eBc20D0A6fc9E98b543A93383F163Aa901,39,,,,
0xeea7550046DE58c55b24680660c1588e7293B6Ef,42,,,,
0xaAeA3F5868de8eb9Bce8cBAa4B4f2d6Dc1b92C95,57,,,,
0x305ea62EDB93ec92E44B95E2973830B5F9D1e561,35,,,,
0xD52722F2FBad791F4f28a27F73Ac08C11186Bc73,35,,,,
0x0bCB693C9234C04FdaF4E7E00030C31D91C20477,39,,,,
0xE4372bF2982D3DB31E26Dd7F3756E4586Db28C99,42,,,,
0x32549D6a1203659D4871fD5D29B2729aD334f0F8,46,,,,
0xBb35462e354C0112D9b0C9f244e77cD32697A38f,25,,,,
0x7Ac43F92cd20a4DFBBf970c7035B671E842DB0cd,50,,,,
0x17a6b7FC4d460a9533B38D4e91955702e6323998,64,,,,
0x31a9495BFF201741C5FD20146a49D686e043010D,35,,,,
0x85f0Ad9533aea4fdc870a8B93B0F7e71c018eFcD,71,,,,
0x0aE5B26239028F43e6716a13ACFb236C305136F6,32,,,,
0x1CbB90beD54291751CCC4C5f4381cc577d4BfDD0,42,,,,
0x60606e92777B6097a2C4D19C79433837f725C5Bb,35,,,,
0x45FAC1A12Bc8899038cfA61BdE31017ad39Ef7BE,35,,,,
0x78DE915f7D5C0912D8eE8Dafd5d15198Bb360789,32,,,,
0x9c6875efb9eD34302FefEf33BB98e2127F952EBB,17,,,,
0x52ec181216b54f106709d450C25C86e2c38b1EAa,53,,,,
0x4828310F85E6ffFa08edB90FeC278527584115E0,28,,,,
0x9374a82A9b3Bb19AE038a04c95E5f7360661d292,25,,,,
0xe577A72FA11d2Cb94425513E010ccf8cfa1049d7,25,,,,
0x18B50C1DF2fD56FF5D84688826A739c914D5aa17,25,,,,
0x62A1B2239b410b7D463F8C6521Df5E694366343F,17,,,,
0x218899FE17703f8e7eD8eF7786aC62D9979f3B74,17,,,,
0x751406f9E32c94D4bFCAa50c8A559e427349434B,17,,,,
0xef91ECd0142aE4C5163B2CF060c0563d49188C82,75,,,,
0x374Ac7777e57d0934AC40455DB1aCe43499Edc91,39,,,,
0xAdC24d7b630759A3AF7f52716d91299c999a2213,71,,,,
0xE1A7F4628A70ACd2F908dcE4C8BA9a54e972729b,46,,,,
0x7f86C79c1D458B03c14e5a6C658100283a1c3cc1,71,,,,
0x61eF6F4f5b5161C215C52bAec87e1c7f554ea5b7,42,,,,
0x94535DE0Ee84f36343c539285183a98784f5257c,64,,,,
0x60BB4B0bC48B54eFA1a3dbaD66e45888e458bfB0,53,,,,
0x0Bdd107BED2DDa8358B21AfD5bB89576e798Aa6c,35,,,,
0x7b544107FA681Fecc87B203DCB5f547fE2A47c8A,14,,,,
0x861DC94E27A34C87c87F1f17761D936Fe20EaA6E,57,,,,
0xb08F95dbC639621DbAf48A472AE8Fce0f6f56a6e,75,,,,
0x1296d68Cc5cD18792dBf0Afbd7A1083f884561E0,35,,,,
0x6E2B9C6552e0695f163B108e6047756C142eC52a,57,,,,
0xD29ac6D0212f04dE55527f17bfc3e6bE27C6BbD2,50,,,,
0x60495CdED704a2cDAEfB8A438Df4E4E3c5098Dc9,25,,,,
0x5cE66f35b519d7c0510e58595640735384829244,64,,,,
0x78180bB43ef0D2236e0C597b8DD750b6D16E8e3a,35,,,,
0x70CAD29D9EC6D6867E788c75Cd857B58e4e58564,14,,,,
0xE755590f249343d1D4472EC2AF8270a6E6e6A324,50,,,,
0xE4C81b6Bc77F8FbD3C45A9722Bb01F26334facAB,50,,,,
0xE403B4A9592e883652Db649A915144DF36115a37,32,,,,
0x9b223c0aD294f25a5b69379f5CC8a873F43CD5e0,35,,,,
0x885705fd586fD79dF7b3903AbeD3dA25D23E7dd7,28,,,,
0x03e4f5Fa8aCc5abD2F2AA7740565842552D51AF7,35,,,,
0xcefB90E5F66617c5bA14b1F8F64D00b2181f0c5F,42,,,,
0xD7b76204A83d942820d4fAB88b708FC6c9a005a2,42,,,,
0xC06d81D19538da0EE2D6a2796b58AFf50a558cBE,32,,,,
0xF75fC827A71Bf5b1273d35c90629dE4e173fb7aE,35,,,,
0xc43dBD11D5855619F60F72278B2B7BcE090e0642,32,,,,
0x662546Dcc9f158a9ABb4d1c3B369B07bC67969D6,67,,,,
0x79fa4f9DFD53FeAB2D3bd6dC03dE818b4e420685,35,,,,
0xce33Dbd4AFf2e53E1CA5e5568Db13e487666e5a6,50,,,,
0x3bd82C707A1E43a33BfC18bd66353E20929Be246,39,,,,
0x942AeE733E5dEF0b8fca8411a93e6ECA22BF4f6a,25,,,,
0xa1Be60a3dd728C15004344Ace9039Dae426A707b,78,,,,
0x4846AEe6d7C9f176F3F329E01A014c2794E21B92,75,,,,
0x159DDA55aB7b74C13Be4e1616c276d87B387D630,21,,,,
0xAb66480a8229d53AF8019AE0ab9b1D4cAb9CbCF9,50,,,,
0xd6649265Cd93342Cd0912D3Cb717Ea44073c64Ac,60,,,,
0xE2B52Fc1ad49B93F85C45315EcbAd740f17B0e8E,67,,,,
0x47C125DEe6898b6CB2379bCBaFC823Ff3f614770,46,,,,
0xea886349d44AA81DE644f0F02105707f563103E6,78,,,,
0x982D1Dc2e9550546636662dFe40af03d6cF0D28E,32,,,,
0x24D4fcbcF4B53051f7d42e80630ed9DB5B2C9f9c,17,,,,
0x6d7ddD863eB2Dad990bC05BDd3357E32850509E9,67,,,,
0xe1DC8CeA0BeC8A0638E4dD26D9092edab9F60f9B,35,,,,
0x945294C67752BD0A453975c04e3078c487a858df,75,,,,
0x0c2eC205cF0F50995dd84F0655b54848844Bda74,67,,,,
0xb8b52400D83e12e61Ea0D00A1fcD7e1E2F8d5f83,53,,,,
0x6BDB1E67841BF29aeF72a6B82F0Fa8ec2441609b,21,,,,
0x8AD865B57fB72870eB1DAF309f92FB7Ba327860B,53,,,,
0x9b6a30F55d74b5d08D1816F37C89FF050a2770c2,32,,,,
0x61c8D4e4BE6477Bb49791540Ff297Ef30Eaa01c2,14,,,,
0x5Dd9709CE52db7b67E852F10A9be3970da65d849,39,,,,
0x6358Dd85FCF02EABcb32A9Dbfe838e9F7028aF56,32,,,,
0xb81913Fb7e15382A81a9338dc1F68FdD6BF1babe,14,,,,
0x4BA7D463ffe4D3562c8eF4671Ba280bEaF41E54C,60,,,,
0x2e37142E0589194E286e26B12531d759372efe35,42,,,,
0xd238076e023b08d6D6Bc908ed8fE89D7A1215A84,28,,,,
0x9cE216927524F14eB48fe81a9162224AAB63C6c6,46,,,,
0x6Ad600Ac2D2203fbe89390f5D40330862D4B2C62,53,,,,
0xe47Cc85bC5BBE6fdB58700f194dE651Cd2DA9Ee8,21,,,,
0xD58D8618986331Fe466f353ABF34aFA1dBf44CAc,32,,,,
0x261e24907f66fEa18594bdd144AD81908fec005a,64,,,,
0x12E1631737a8dA97FBC7F02E0b2F5D5d3Cda4d91,28,,,,
0xe4cA1ACcb4FBAe8953ab4E47006B342e720c8637,28,,,,
0x2d3B1331FDD020C9E92c6d6d149124B421eEf053,64,,,,
0x27F3c89dAdE41a9719a6506D3c0A3330218Eeb06,17,,,,
0x5197ef628A413D16aB2D7C00b7f99723D0336879,21,,,,
0x876242fF7A681cb5fc1a3861248dDbD9e8992211,32,,,,
0x9E5c2cdCEC31C2a46FFa07d1D89Fd0E68eCC0117,28,,,,
0x6E0B6FF7536100a9e6b7041CA5a98108935932e5,71,,,,
0xA2Fe9bf1fBEAc7b79B1C1562851EA6c03D5D3F04,57,,,,
0xFD13ee3b4dF54967DcDcb7FA6448642DA2ED4222,39,,,,
0x9B87fE67BFE5E25044760E96c7cDaF30Ccb10f4A,35,,,,
0x684f49bc1e04339d84F2370f14Dc1491A3B4F113,75,,,,
0x067b9Bbbbc42d2AB9b9Ab6bB62646dAF7F344A76,32,,,,
0xbf41164C9aA5ECd4583AD70A5f2625360E21A59b,32,,,,
0x6b00Af5Ed863712a47E4a6272611d230c6Cf4674,42,,,,
0xBA9B78920F85fDDe62eacFB10f8465f978A4D314,46,,,,
0x36220d1fC55d0aFb0c3c58b6C1224875547C9f36,67,,,,
0x97Cda2BaEEca5e566e302B482C2F897c876e8E65,25,,,,
0xAD5bEd5Fc455e3505f10ead55B1e760D4713fED9,28,,,,
0x3917d5Db38879BAb97Cb5B65eC5562F4CF648196,60,,,,
0xEca1E4F57E5627A37D00DaF0CfB65310217D156C,28,,,,
0x771b9e29a8ddb534e0f6A798155e8A2AC439a325,32,,,,
0xc1785ECA4e573043493Eb39D949803060E1f97D4,28,,,,
0x0b2783CB60Ff4Ec7CA869b30b8dafd801e7224B6,78,,,,
0x84C6ed12B6fec50B4d4C89D379aFb8CfeF5b4e73,64,,,,
0x9C2B88a02cd8ed7A476ed959b15E8bEFb2701549,57,,,,
0xa8114567Ffdc4Bba72b8eB2F542390790Fd1B0C3,21,,,,
0x642E4319bEC851A1E8F20a1B1f4D84703BbC3C9a,46,,,,
0x1C5EB68630cCd90C3152FB9Dee3a1C2A7201631D,75,,,,
0x968a0e5603c5D4dbF24cbd7df562921d158aD19C,78,,,,
0xB88cE989B1D839675AB725779BBBB2448cf9F453,53,,,,
0x8B2288cbb472a19A658A5974cB604C0E8baBCB25,14,,,,
0x8e747F89E17984dC0b5448bccba7fB022767C6d2,17,,,,
0x9B68c14e936104e9a7a24c712BEecdc220002984,75,,,,
0xdDc55d1f87edD558240480022FE04cb43bea6DfA,53,,,,
0xCB2bf88e02852534672dcCcdA6594fc5B99f783b,35,,,,
0xD512cD603335edd6b40573E307A7B7913E7Aab37,28,,,,
0xc3F2A7d831a35fBA958028f4A6CA0B2003390099,71,,,,
0xeb37680652A9c7E7663363a25e716ADf133F629e,60,,,,
0x0cd2E325F1bBc1B91d5E118eE8761C43D30303eE,64,,,,
0x20873704d3a7Fa97D870e11C2efE312e25b49a38,32,,,,
0x173A97F8b9eDdF7b4da32B0266F429534C62ff6E,17,,,,
0xD70804463bb2760c3384Fc87bBe779e3D91BaB3A,75,,,,
0x5444C3377842568E5cCd77Df6F8b26C2c2eF3878,71,,,,
0xC8f88b4aeF57Ac93FE41390194C3A4d77d7df744,39,,,,
0xd410cE5A40c4ab9B480e9921C69355f75725Bd11,46,,,,
0x717f7f77458886Fe97acD31f5Ee7F175AbF78582,46,,,,
0x88e72Ae43E0dBaa195539A707f48471639077147,42,,,,
0xED04f413245a8651fC6998A6A1413B8e330Dd7df,64,,,,
0xc6A0D93A696B3Cb60a3d1adc7852bB3131639671,67,,,,
0x0b7C75A9689A84854256c7d5dB7C87fEB1bbbb8b,71,,,,
0x5B996EAFAe54A2F70E26fd9eE105210FC84FDC1F,39,,,,
0xc426f7ADB8c15771cdc6Df55D31518056C04d63e,21,,,,
0xe1F6109AeCafE650108E313d8C67f15B15266683,28,,,,
0x0fDA4Ac09a12C10FAe30E429F4D6b47C9A83c87e,67,,,,
0x88013A2D1883939E3b758491f4bf5aA2b74D07fe,25,,,,
0xA230a1c91C640dA7A947C23a889a3bD68A171915,75,,,,
0x451248229712D6F207ff9466d8D3A33CB59d103c,75,,,,
0x43dbb3A31F6F3EDBf63243b2e74cdA648c9d8D3B,53,,,,
0xd1a8Dd23e356B9fAE27dF5DeF9ea025A602EC81e,78,,,,
0xc61336b9f40ea1e03f0200CD0F636256AC806aeD,42,,,,
0xCF0FA79c915F12592c352FFe35000fda5c96a158,46,,,,
0x68eA15BDfb38E96c0236937DfF5a613f0Da64542,64,,,,
0x543dA850A9DFB64BaD9aF1c0297f2051B65f3fF0,71,,,,
0xC4d9d1a93068d311Ab18E988244123430eB4F1CD,71,,,,
0x4cdC4f412355F296C2cf261210Cc9274404E442b,50,,,,
0x41552Dd6Cb63B225Ff252D0368b549D0aDF61038,25,,,,
0x54e6Ef947420981c8a2b3bC2180F07B1bA630a58,39,,,,
0x15Cb133ddd9D51350Dd555DD94DE87f33f32e4Ae,53,,,,
0xB0623C91c65621df716aB8aFE5f66656B21A9108,78,,,,
0x2F36399A6fe5472F0264642518c36515E033F206,42,,,,
0x5E7E0F2202c3dE6a7A31BC88fde9149028cd9760,64,,,,
0xf72548219B4e260DC7AfcD5327b890e70796043B,25,,,,
0xd90ec9dc6f220BE43ad88F3eFf78fBD00d8Fd1D6,64,,,,
0xBcfD8dDAc6B8fe5144553B50790ca631b1760FB0,60,,,,
0x81ea1d1b3aC05f028D657893a96CA1b44b308857,25,,,,
0x934B510D4C9103E6a87AEf13b816fb080286D649,75,,,,
0x1786D033D5CbCC235B673e872c7613c2F83DA583,75,,,,
0xDaCC0fd259CE0DE2829B38A0765970e7ab65346C,71,,,,
0x4E6F69d18cf03d51468550aD7355C9B172307dB4,75,,,,
0x7A824BEa2Bed9399a68cD0e340224809521c81D9,57,,,,
0xDa64380a299cb4055bBEf43E940b6029d12AF8fD,25,,,,
0x4f66f66B916142c055DA9cCA02036aba430a8DCe,64,,,,
0xFED0e586cB372Fd0b17ead9F8cb1347BF8a5937f,67,,,,
0x4f8ee6e6cE4E3Fd2dFdBDD011664Fe257A67f47D,50,,,,
0x8948174C1Cde7CCFE22303cbe90d5D6ab8a07Eea,32,,,,
0xcB547150e512986Fc03cA701041A46a5266c0C15,32,,,,
0xA20C07F94A127fD76E61fbeA1019cCe759225002,71,,,,
0x9CDB3f70Ae3aCdE58954DFC12A840E898b801188,32,,,,
0x3Bb7216aFa2E3e0fE0D5c2B6350357D85d7C51Fa,21,,,,
0x0d0722ad65bEd15211101C0e2191e76ADEacE9B1,53,,,,
0xDD59B72bbCe6499c3CAaBFA309a9BdDa711452c3,25,,,,
0xfccBe586D825d0622476BfbE175CCB0045f869a9,28,,,,
0x83a6899808b983FE94c7eD5b19173Ec9f4940b3E,35,,,,
0x301605C95acbED7A1fD9C2c0DeEe964e2AFBd0C3,78,,,,
0x082bd7f9454E0Ae94321Bcc483FFC8570bfb23F0,32,,,,
0x54CC0802aa8bAB73b21b897f96b37AfF16239EeA,60,,,,
0x1Ada02AC5097709691C72Aef033f2B8249fB1913,32,,,,
0xde88d54819c4Ae692FbB8f5f914ac5723951EE65,71,,,,
0x395568adDa9ab72d27a874faDFCd2f333fBF8F10,64,,,,
0x0455d4f404bA8a8Ff4107211Cff0608A02A172db,35,,,,
0xC48441524d59852c40A53411C9Be753718c632BC,50,,,,
0x461CdE402c6b945036df1b49F2703fCa22B23d7b,75,,,,
0xf22A7Be9346Dac4264EdEd39c0C0ca6475945Afe,35,,,,
0x509aaF71f59b61F6e2184F8c2dB7dA0BaCF6d53a,67,,,,
0xE73a198e7C07c418D7dcFd42f5E953074aBbD125,71,,,,
0x84648776d062bBE6c14839586363Cb9067BeBF69,71,,,,
0x050BCB5dc1BEda9EacF2a00354Aa4f67de970efB,35,,,,
0x693465e7ddA7AaD8275f376074173E139b25D0D2,14,,,,
0x31d173Ea66Fa8fBa38b3DDB798C1c1098f3AE8c5,75,,,,
0xa044468730b5D51c7Ce785eE04AE6bc963F8A7C7,60,,,,
0x94e2d6bD83A9D53F5c3aE7594f8e883c9C112a58,39,,,,
0xd714Dd60e22BbB1cbAFD0e40dE5Cfa7bBDD3F3C8,78,,,,
0x5d8908aFEE1DF9f7f0830105f8BE828F97Ce9e68,32,,,,
0x5Df064A0c99Ee40171500782934b47B874462D18,67,,,,
0x7Af7cA67AA827F58e0659C52a641aeE55a43B535,67,,,,
0x858b479e162923138c8Ac0Aeaeff641405279973,21,,,,
0x02B860783d1957F9DC0870185B8Bf7714eED9604,67,,,,
0x634208c63Ca256E73C00d99BC8837Ea1157FEdA6,57,,,,
0xc9cA00D51b5E56A065d97922ffF86Ff96123685d,64,,,,
0x00493aA44BCfd6F0c2EcC7F8B154e4fB352d1c81,75,,,,
0x057a45d19fb0850a220cE188834982d9AC208553,60,,,,
0x168feF2fD1AF371625B2593468620185Cea904FF,75,,,,
0x7f8c1877Ed0DA352F78be4Fe4CdA58BB804a30dF,78,,,,
0xB1B7586656116D546033e3bAFF69BFcD6592225E,78,,,,
0xAa01DeC5307CF17F20881A3286dcaA062578cea7,78,,,,
0xDC45FC8Ee0bBD96de4F8c561E81099e8be08Ed63,42,,,,
0x7F29129eE109A4DD8358EB723356520d4AAE05d0,60,,,,
0x81D98c8fdA0410ee3e9D7586cB949cD19FA4cf38,78,,,,
0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,71,,,,
0xc70f6273F7EDF28F28810EA0B8Dec35eb00bcA81,67,,,,
0x536c7E8F18D09d04697E0d2624b44bBA575388c2,39,,,,
0x3002d59e9d3bFaf9C50E5cD91502a1F378Fa92bB,32,,,,
0xDc5d6046E84Dd4A83C75971402C0F01025946c2c,78,,,,
0x34457849a83C328745E36bE59177759F53246A3b,42,,,,
0x9d6B1d2C3441Cb43137AAc3d8b3A1FA0a53B0c4f,28,,,,
0x2d2e31965cC5D89DfA0684079B4730800C36E993,75,,,,
0x9787e9D84edC7166bF63075296b937327936d7cF,32,,,,
0xfe3e60FE6274601b732B3450d4CA24580F937835,21,,,,
0xce4a029F4D6073a8279fF3C65A46210183c4E791,35,,,,
0xEA95cfB5Dd624F43775b372db0ED2D8d0073E91C,32,,,,
0x70b8A73490a4Cb1fD64152953Fb73DA0043192A1,64,,,,
0xa85EDC8d90D6643AFE9E5ced92317f1bD8f6440b,67,,,,
0x47a2a5A8950dd410410f0AF03Af0964cae6Ffec4,71,,,,
0xcAa3a3c852442F06806170D137248bb21ddb0E1B,67,,,,
0xED8dD1edEFB3DBa2e041651Dace10bbDe9EA6Ba1,50,,,,
0x3bC0cE4f40E5EF2640024a6cEbd53909C8EF1cb4,32,,,,
0x1F2D489B45dE541D1BbA88bAf00D4Ff6eBe141B1,50,,,,
0x1EeC60f7bF9894cA9973F26C27E0f544B8F4729A,53,,,,
0x70B0b7baa057Ac6f19FA76415c5EcD08d11b9eA7,60,,,,
0x0860FFF5c31bE49962754D069C5d650aD9E0C0fb,32,,,,
0x459e978d5Af10211181c5d8E75193170ea1ab89D,75,,,,
0x34566bB0D892905570aEC0EC8041a49e4d0d8e79,57,,,,
0x25E2d930F6B34a85f967ae73bb85104023d0F8Da,53,,,,
0x12c604e03B9d89B8e5f6B1c65a35752E6c791B64,64,,,,
0x115cc048B05e1639A33F7C91967dBe2EF0Fd521D,28,,,,
0x2F595C056e785E13579128DF27cAD2968d034BA4,71,,,,
0xbEfE99BdF9dc0d4d91112e15e0c23Fab3E920A8b,14,,,,
0x3e36EDc971908Ba1dB6F10eD0943191a011Cbf8a,64,,,,
0xa8538293238417148Cf9b7f2963c4D69ab24acBf,17,,,,
0x7aa69b5EE49C4D3170e037960ca6c83F61241395,67,,,,
0xc16638A3f5d2eeeBf95BB394550C95280A178c66,17,,,,
0x098544B8Cb05aB01F9442d7302b5daAB6eD367F4,35,,,,
0x19Ba3eedA313577888C145a5d7053Df05471b460,67,,,,
0x04A038E2E653fA9ffBE289dFD96770053AcB1978,57,,,,
0xf3aFc2383a0B45ae73D77B49dF7F2184B1Ad4B90,75,,,,
0x6d6030Ab106a3C158ABEBf55Fb4c8280F1882ff5,64,,,,
0xdF362413e0125a93c57c31472f5cC02bEBb99306,53,,,,
0xA595B24A460309065225ae45710bF8af4C012c72,50,,,,
0x0d6E94D085A597f316bE1833649e05a45103e873,78,,,,
0x464D78a5C97A2E2E9839C353ee9B6d4204c90B0b,25,,,,
0x298C7de0ABf45AA9290D77c1F77b4D2BD2472f0A,39,,,,
0x9C782533eccfc8739fD5Ac22a9178F237370F060,53,,,,
0x8C4F34019EdA2Df6726846E9D934692B660A3284,57,,,,
0x665fedDc94089C6Ed6b6E34eC10559Bb2BB3e880,67,,,,
0x5b02dA8420dd9F77a33C6E2b22Dc87fE22c17a30,75,,,,
0xa374CCAbfA75F4642ddA35154Fe3C6739130655F,28,,,,
0x37f7Ff1864f5D5CBa2b63592656049F2D7D06FB4,71,,,,
0x2248B17EfE3D53397531CbF90c99B9Bd302987F7,64,,,,
0xF9921168440802F233cee0C3FfEd082E8EA57a0a,14,,,,
0xdFeE3aF26f9e944005B6BE092d02f467B543Bd12,35,,,,
0x7Dc06E2705901519f47108BA0d9442E6bEB87AFe,46,,,,
0xC1196C46559203fe1e3ffE05009fdE59795A6385,57,,,,
0x119dfCA1629a73912Bc064AF6774b36581D44b67,39,,,,
0x666EcD43D1C02e4e4F8Bb1A231b378EBCcF1477a,25,,,,
0xd35E119782059A27FEAd4EddA8B555f393650BC8,67,,,,
0x739294426Ba290B1954a3aeb001BAcfE8E32c65D,32,,,,
0x0bde4dD33A4Ffa7E0A45EB81D440Fc61aC39d0C3,32,,,,
0x87DcbEF4894C4922DF87aAc07409F745f1d0C85D,21,,,,
0x3223B856637a50F659919138c2F99F9bcCCf67FC,17,,,,
0x3D43A6313a40d918aeb70122E37009DEd3DDa6Cf,39,,,,
0xc8d953cD51D8Ce72E1cC176b457cf75E9aac34Ab,17,,,,
0xabF9cB06Bf1B5209E52A8822cA4124D3DbBe45d5,50,,,,
0x960b72c663577F879684f39eF11fb3E5fE6615e9,28,,,,
0x8d313Be9a5F5abb56E696d2bB2e5Ea2673E326C6,60,,,,
0x25659eEfd7caE21566a257420bBcB0C8317Ef94f,75,,,,
0x3Ebe3018E54c1A327bf8D0404F538085622CfBba,17,,,,
